,old index,content 1,content 2
0,2065,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.35889912  4.47213602  4.5825758   4.69041586  4.89897966  5.
  5.09901953  5.38516474  5.65685415  5.74456263  5.83095169  6.
  6.3245554   6.40312433  6.63324976  6.70820379  7.07106781  7.21110249
  7.28010988  7.54983425  7.6157732   7.68114567  7.8740077   8.06225777
  8.24621105  8.54400349  8.77496433 10.04987526 11.18033981 11.3578167 ]","[2.304e+03 1.809e+03 1.116e+03 6.770e+02 5.530e+02 4.930e+02 4.200e+02
 2.890e+02 2.810e+02 2.660e+02 2.050e+02 1.980e+02 1.970e+02 1.320e+02
 1.150e+02 1.060e+02 7.700e+01 6.600e+01 6.000e+01 4.200e+01 3.700e+01
 3.500e+01 3.400e+01 3.200e+01 2.700e+01 2.100e+01 1.800e+01 1.700e+01
 1.600e+01 1.500e+01 1.400e+01 1.200e+01 1.100e+01 1.000e+01 9.000e+00
 8.000e+00 6.000e+00 5.000e+00 4.000e+00 3.000e+00 2.000e+00 1.000e+00]"
1,16611,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.47213602  4.5825758   4.69041586  4.89897966  5.          5.09901953
  5.38516474  5.47722578  5.65685415  5.74456263  5.83095169  6.
  6.16441393  6.3245554   6.40312433  6.63324976  6.70820379  7.
  7.07106781  7.14142847  7.21110249  7.28010988  7.54983425  7.6157732
  7.8740077   8.24621105  8.30662346  8.48528099  8.77496433  8.83176041
  9.1651516  10.19803905 10.48808861 11.87434196]","[2.304e+03 1.820e+03 1.152e+03 7.440e+02 6.050e+02 5.430e+02 4.670e+02
 2.910e+02 2.830e+02 2.740e+02 2.130e+02 2.000e+02 1.420e+02 1.280e+02
 1.250e+02 1.050e+02 9.200e+01 9.100e+01 6.400e+01 6.100e+01 5.700e+01
 5.100e+01 5.000e+01 4.500e+01 4.400e+01 3.500e+01 3.400e+01 3.100e+01
 2.700e+01 2.500e+01 2.400e+01 2.300e+01 2.100e+01 1.900e+01 1.600e+01
 1.500e+01 1.400e+01 1.200e+01 8.000e+00 7.000e+00 6.000e+00 5.000e+00
 4.000e+00 3.000e+00 2.000e+00 1.000e+00]"
2,7596,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.35889912  4.47213602  4.5825758   4.69041586  4.89897966  5.
  5.09901953  5.38516474  5.47722578  5.65685415  5.74456263  6.
  6.16441393  6.3245554   6.40312433  6.63324976  6.70820379  7.
  7.07106781  7.28010988  7.48331499  7.54983425  7.81024981  7.8740077
  8.06225777  8.24621105  8.30662346  8.48528099  9.21954441 10.04987526
 10.19803905 10.48808861 10.95445156 11.18033981 11.70469952 13.15294647
 13.30413437 15.81138802 19.10497284]","[2.304e+03 1.904e+03 1.286e+03 7.920e+02 6.500e+02 5.950e+02 5.040e+02
 3.200e+02 3.040e+02 2.960e+02 2.320e+02 2.200e+02 2.180e+02 1.320e+02
 1.180e+02 1.110e+02 9.400e+01 8.600e+01 8.300e+01 6.100e+01 5.900e+01
 5.600e+01 5.100e+01 4.500e+01 4.200e+01 3.800e+01 3.400e+01 3.200e+01
 2.900e+01 2.800e+01 2.700e+01 2.400e+01 2.300e+01 2.200e+01 2.100e+01
 2.000e+01 1.700e+01 1.600e+01 1.400e+01 1.300e+01 1.200e+01 1.100e+01
 9.000e+00 8.000e+00 7.000e+00 6.000e+00 5.000e+00 4.000e+00 3.000e+00
 2.000e+00 1.000e+00]"
3,19677,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.35889912  4.47213602  4.5825758   4.69041586  4.89897966  5.
  5.09901953  5.38516474  5.47722578  5.65685415  5.74456263  5.83095169
  6.          6.16441393  6.3245554   6.40312433  6.55743837  6.63324976
  6.70820379  6.92820311  7.          7.21110249  7.28010988  7.34846926
  7.48331499  7.54983425  7.81024981  8.06225777  8.24621105  8.30662346
  8.48528099  8.83176041  8.94427204  9.1651516   9.43398094 10.09950447
 10.19803905 10.77032948 11.         11.18033981 11.3578167  11.57583714
 11.83216    12.36931705 13.15294647 13.34166431 14.14213562 17.57839584]","[2.304e+03 1.941e+03 1.377e+03 9.260e+02 7.730e+02 7.160e+02 6.390e+02
 4.340e+02 4.140e+02 4.050e+02 3.310e+02 3.190e+02 3.180e+02 2.240e+02
 2.080e+02 2.020e+02 1.670e+02 1.540e+02 1.470e+02 1.130e+02 1.120e+02
 1.080e+02 9.700e+01 9.200e+01 8.200e+01 8.000e+01 7.000e+01 6.600e+01
 6.500e+01 5.700e+01 5.100e+01 5.000e+01 4.400e+01 4.300e+01 3.800e+01
 3.700e+01 3.200e+01 3.100e+01 2.900e+01 2.800e+01 2.300e+01 2.200e+01
 2.100e+01 2.000e+01 1.900e+01 1.600e+01 1.500e+01 1.400e+01 1.200e+01
 1.100e+01 1.000e+01 9.000e+00 8.000e+00 7.000e+00 6.000e+00 5.000e+00
 4.000e+00 3.000e+00 2.000e+00 1.000e+00]"
4,7020,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.35889912  4.47213602  4.5825758   4.69041586  4.89897966  5.
  5.09901953  5.38516474  5.47722578  5.65685415  5.74456263  5.83095169
  6.08276272  6.16441393  6.3245554   6.40312433  6.63324976  6.70820379
  7.          7.28010988  7.81024981  8.06225777  8.24621105  8.77496433
  9.21954441  9.48683262  9.79795933 11.66190338 11.87434196 12.12435532]","[2.304e+03 1.759e+03 9.940e+02 5.630e+02 4.430e+02 3.970e+02 3.240e+02
 1.900e+02 1.780e+02 1.760e+02 1.260e+02 1.140e+02 1.120e+02 8.100e+01
 7.500e+01 6.700e+01 5.100e+01 4.800e+01 4.600e+01 3.200e+01 3.100e+01
 3.000e+01 2.700e+01 2.600e+01 2.500e+01 2.200e+01 2.000e+01 1.700e+01
 1.600e+01 1.500e+01 1.300e+01 1.100e+01 1.000e+01 9.000e+00 8.000e+00
 7.000e+00 6.000e+00 5.000e+00 4.000e+00 3.000e+00 2.000e+00 1.000e+00]"
5,24096,"[0.         2.         2.23606801 2.82842708 3.         3.1622777
 3.46410155 3.60555124 3.7416575  4.         4.12310553 4.2426405
 4.47213602 4.5825758  4.69041586 4.89897966 5.         5.09901953
 5.38516474 5.47722578 5.65685415 5.74456263 5.83095169 6.
 6.08276272 6.16441393 6.3245554  6.40312433 6.63324976 6.70820379
 6.92820311 7.         7.07106781 7.21110249 7.28010988 7.34846926
 7.48331499 7.54983425 7.81024981 7.8740077  8.         8.06225777
 8.1240387  8.24621105 8.30662346 8.48528099 8.54400349 8.60232544
 8.71779823 8.77496433 8.83176041 9.21954441 9.43398094 9.48683262
 9.64365101]","[2.304e+03 1.923e+03 1.531e+03 1.193e+03 1.067e+03 1.040e+03 9.290e+02
 7.410e+02 7.160e+02 6.960e+02 5.540e+02 5.370e+02 4.180e+02 3.920e+02
 3.810e+02 3.190e+02 2.990e+02 2.940e+02 2.180e+02 2.130e+02 1.940e+02
 1.760e+02 1.670e+02 1.480e+02 1.430e+02 1.410e+02 1.140e+02 1.000e+02
 9.800e+01 8.100e+01 7.800e+01 6.900e+01 6.200e+01 6.000e+01 5.200e+01
 4.900e+01 4.500e+01 4.200e+01 3.900e+01 3.700e+01 3.600e+01 3.200e+01
 3.100e+01 2.600e+01 2.000e+01 1.700e+01 1.600e+01 1.400e+01 1.300e+01
 1.100e+01 1.000e+01 6.000e+00 3.000e+00 2.000e+00 1.000e+00]"
6,1487,"[0.         2.         2.23606801 2.82842708 3.         3.1622777
 3.46410155 3.60555124 3.7416575  4.         4.12310553 4.2426405
 4.47213602 4.5825758  4.69041586 4.89897966 5.         5.09901953
 5.38516474 5.47722578 5.65685415 5.74456263 5.83095169 6.
 6.08276272 6.16441393 6.3245554  6.40312433 6.48074055 6.63324976
 6.70820379 6.92820311 7.07106781 7.21110249 7.28010988 7.48331499
 7.6157732  7.81024981 8.06225777 8.24621105 8.48528099 8.94427204
 9.43398094]","[2.304e+03 1.943e+03 1.427e+03 1.027e+03 8.970e+02 8.380e+02 7.360e+02
 5.460e+02 5.320e+02 5.200e+02 4.100e+02 3.870e+02 2.510e+02 2.250e+02
 2.160e+02 1.720e+02 1.480e+02 1.410e+02 8.600e+01 8.400e+01 7.600e+01
 6.500e+01 6.100e+01 5.500e+01 5.400e+01 5.000e+01 3.500e+01 3.200e+01
 3.100e+01 2.700e+01 2.400e+01 2.300e+01 2.200e+01 1.700e+01 1.400e+01
 1.200e+01 1.100e+01 9.000e+00 6.000e+00 4.000e+00 3.000e+00 2.000e+00
 1.000e+00]"
7,9848,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.35889912  4.47213602  4.5825758   4.69041586  4.89897966  5.
  5.09901953  5.38516474  5.47722578  5.65685415  5.74456263  5.83095169
  5.91608     6.          6.08276272  6.16441393  6.3245554   6.40312433
  6.48074055  6.63324976  6.70820379  6.78233004  7.          7.07106781
  7.21110249  7.28010988  7.34846926  7.48331499  7.54983425  7.6157732
  8.06225777  8.24621105  8.48528099  8.77496433  9.          9.11043358
  9.21954441  9.79795933 10.19803905 10.2469511  10.34407997 10.63014603
 10.72380543 11.3578167  11.66190338 12.20655537 13.         13.30413437
 18.11077118 22.09072113]","[2.304e+03 1.687e+03 1.087e+03 7.770e+02 6.450e+02 6.040e+02 5.450e+02
 4.080e+02 3.990e+02 3.940e+02 3.130e+02 3.030e+02 3.010e+02 2.220e+02
 1.990e+02 1.880e+02 1.470e+02 1.310e+02 1.290e+02 9.800e+01 9.500e+01
 9.100e+01 8.300e+01 8.100e+01 8.000e+01 7.500e+01 7.400e+01 7.300e+01
 6.100e+01 5.300e+01 5.100e+01 4.800e+01 4.300e+01 4.200e+01 4.100e+01
 3.700e+01 3.600e+01 3.300e+01 2.900e+01 2.700e+01 2.500e+01 2.400e+01
 2.000e+01 1.900e+01 1.800e+01 1.700e+01 1.600e+01 1.500e+01 1.400e+01
 1.300e+01 1.200e+01 1.100e+01 1.000e+01 9.000e+00 8.000e+00 7.000e+00
 6.000e+00 5.000e+00 4.000e+00 3.000e+00 2.000e+00 1.000e+00]"
8,24211,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.47213602  4.5825758   4.69041586  4.89897966  5.          5.09901953
  5.38516474  5.47722578  5.65685415  5.74456263  5.83095169  5.91608
  6.          6.08276272  6.16441393  6.3245554   6.40312433  6.55743837
  6.63324976  6.70820379  6.78233004  7.          7.28010988  7.48331499
  7.8740077   8.60232544  9.         10.44030666]","[2.304e+03 1.864e+03 1.161e+03 6.950e+02 5.510e+02 4.960e+02 4.260e+02
 2.770e+02 2.580e+02 2.500e+02 1.790e+02 1.730e+02 1.110e+02 1.040e+02
 9.600e+01 8.100e+01 6.700e+01 6.500e+01 4.200e+01 3.900e+01 3.800e+01
 3.700e+01 3.600e+01 3.500e+01 3.200e+01 3.100e+01 2.700e+01 2.000e+01
 1.500e+01 1.300e+01 1.100e+01 9.000e+00 8.000e+00 7.000e+00 6.000e+00
 5.000e+00 4.000e+00 3.000e+00 2.000e+00 1.000e+00]"
9,2948,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.47213602  4.5825758   4.69041586  4.89897966  5.          5.09901953
  5.38516474  5.47722578  5.65685415  5.74456263  5.83095169  5.91608
  6.          6.08276272  6.16441393  6.3245554   6.40312433  6.55743837
  6.63324976  6.70820379  6.92820311  7.          7.07106781  7.21110249
  7.28010988  7.34846926  7.48331499  7.54983425  7.6157732   7.81024981
  8.06225777  8.24621105  8.30662346  8.48528099  8.54400349  8.60232544
  8.66025448  8.83176041  9.1651516   9.21954441  9.43398094  9.48683262
 10.04987526 10.19803905 11.87434196 12.20655537]","[2.304e+03 1.897e+03 1.282e+03 8.810e+02 7.410e+02 6.870e+02 6.020e+02
 4.450e+02 4.310e+02 4.250e+02 3.550e+02 3.400e+02 2.720e+02 2.520e+02
 2.480e+02 2.020e+02 1.900e+02 1.830e+02 1.400e+02 1.340e+02 1.250e+02
 1.150e+02 1.080e+02 1.070e+02 9.300e+01 9.100e+01 8.800e+01 7.400e+01
 7.100e+01 7.000e+01 6.100e+01 5.400e+01 5.300e+01 4.900e+01 4.800e+01
 4.700e+01 3.800e+01 3.700e+01 3.200e+01 3.000e+01 2.900e+01 2.700e+01
 2.100e+01 1.900e+01 1.600e+01 1.500e+01 1.400e+01 1.200e+01 1.100e+01
 1.000e+01 9.000e+00 7.000e+00 6.000e+00 5.000e+00 4.000e+00 3.000e+00
 2.000e+00 1.000e+00]"
