,old index,content 1,content 2
0,18328,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.47213602  4.5825758   4.69041586  4.89897966  5.          5.09901953
  5.38516474  5.47722578  5.65685415  5.74456263  5.83095169  6.
  6.16441393  6.3245554   6.40312433  6.63324976  7.          7.07106781
  7.21110249  7.28010988  7.34846926  7.48331499  7.54983425  7.68114567
  7.81024981  8.06225777  8.48528099  8.54400349  8.71779823  8.77496433
  8.94427204  9.11043358  9.21954441  9.43398094  9.69536018  9.84885788
  9.89949512 10.04987526 10.63014603 11.04536057 11.3578167  11.53256226]","[2.304e+03 1.964e+03 1.362e+03 9.270e+02 7.890e+02 7.220e+02 6.380e+02
 4.190e+02 4.040e+02 3.970e+02 3.180e+02 3.080e+02 2.220e+02 1.970e+02
 1.870e+02 1.490e+02 1.310e+02 1.280e+02 9.000e+01 8.800e+01 8.300e+01
 7.800e+01 7.400e+01 6.200e+01 5.800e+01 4.700e+01 4.300e+01 4.000e+01
 3.800e+01 3.700e+01 3.200e+01 2.900e+01 2.800e+01 2.500e+01 2.400e+01
 2.200e+01 2.100e+01 2.000e+01 1.900e+01 1.800e+01 1.700e+01 1.600e+01
 1.500e+01 1.400e+01 1.200e+01 1.000e+01 9.000e+00 8.000e+00 7.000e+00
 6.000e+00 4.000e+00 3.000e+00 2.000e+00 1.000e+00]"
1,197,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.35889912  4.47213602  4.5825758   4.69041586  4.89897966  5.
  5.09901953  5.38516474  5.47722578  5.65685415  5.74456263  5.83095169
  6.          6.16441393  6.3245554   6.40312433  6.48074055  6.63324976
  6.70820379  6.92820311  7.          7.21110249  7.34846926  7.54983425
  8.06225777  8.24621105  8.48528099  8.60232544  9.1651516   9.21954441
  9.48683262  9.94987392 10.44030666 11.18033981 13.15294647 16.91153526]","[2.304e+03 1.954e+03 1.419e+03 9.880e+02 8.430e+02 7.800e+02 6.650e+02
 4.660e+02 4.530e+02 4.430e+02 3.410e+02 3.290e+02 3.280e+02 2.340e+02
 2.120e+02 2.040e+02 1.700e+02 1.530e+02 1.480e+02 9.300e+01 9.000e+01
 8.100e+01 6.800e+01 6.400e+01 5.500e+01 4.800e+01 3.800e+01 3.400e+01
 3.300e+01 3.000e+01 2.200e+01 2.100e+01 1.900e+01 1.800e+01 1.600e+01
 1.500e+01 1.400e+01 1.200e+01 1.100e+01 1.000e+01 9.000e+00 7.000e+00
 6.000e+00 5.000e+00 4.000e+00 3.000e+00 2.000e+00 1.000e+00]"
2,12945,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.47213602  4.5825758   4.69041586  4.89897966  5.          5.09901953
  5.19615221  5.38516474  5.47722578  5.65685415  5.74456263  5.83095169
  5.91608     6.          6.08276272  6.16441393  6.3245554   6.40312433
  6.55743837  6.63324976  6.70820379  7.          7.07106781  7.28010988
  7.48331499  7.54983425  7.81024981  7.8740077   8.          8.24621105
  8.30662346  8.36660004  8.60232544  9.21954441 10.         10.19803905]","[2.304e+03 1.360e+03 9.920e+02 7.340e+02 6.230e+02 5.870e+02 5.300e+02
 3.990e+02 3.840e+02 3.760e+02 3.040e+02 2.960e+02 2.100e+02 1.940e+02
 1.890e+02 1.620e+02 1.510e+02 1.450e+02 1.430e+02 1.060e+02 1.030e+02
 1.010e+02 9.100e+01 8.400e+01 8.300e+01 7.400e+01 7.100e+01 6.800e+01
 5.200e+01 3.900e+01 3.800e+01 3.600e+01 2.800e+01 2.600e+01 2.500e+01
 2.100e+01 1.900e+01 1.500e+01 1.200e+01 1.100e+01 1.000e+01 8.000e+00
 7.000e+00 6.000e+00 4.000e+00 3.000e+00 2.000e+00 1.000e+00]"
3,12842,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.47213602  4.5825758   4.69041586  4.89897966  5.          5.09901953
  5.38516474  5.47722578  5.65685415  5.74456263  5.83095169  6.
  6.08276272  6.3245554   6.40312433  6.63324976  6.70820379  7.07106781
  7.28010988  7.34846926  7.48331499  7.54983425  8.24621105  9.43398094
 11.3578167  13.9283886 ]","[2.304e+03 1.958e+03 1.357e+03 8.440e+02 6.830e+02 6.230e+02 5.010e+02
 3.230e+02 3.050e+02 3.000e+02 2.130e+02 2.000e+02 1.380e+02 1.230e+02
 1.150e+02 9.600e+01 7.500e+01 7.200e+01 4.100e+01 3.900e+01 3.700e+01
 3.000e+01 2.700e+01 2.400e+01 2.300e+01 1.800e+01 1.700e+01 1.400e+01
 1.100e+01 1.000e+01 9.000e+00 8.000e+00 7.000e+00 6.000e+00 5.000e+00
 4.000e+00 2.000e+00 1.000e+00]"
4,16933,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.35889912  4.47213602  4.5825758   4.69041586  4.89897966  5.
  5.09901953  5.38516474  5.47722578  5.65685415  5.74456263  5.83095169
  6.          6.08276272  6.16441393  6.3245554   6.40312433  6.55743837
  7.07106781  7.21110249  7.28010988  7.34846926  7.48331499  7.6157732
  8.06225777  8.36660004  8.94427204  9.43398094  9.48683262 10.19803905
 10.95445156]","[2.304e+03 1.854e+03 1.175e+03 7.290e+02 6.070e+02 5.490e+02 4.830e+02
 3.140e+02 3.050e+02 2.950e+02 2.370e+02 2.240e+02 2.230e+02 1.440e+02
 1.290e+02 1.200e+02 9.700e+01 8.400e+01 8.300e+01 5.300e+01 5.100e+01
 5.000e+01 4.300e+01 4.100e+01 3.800e+01 3.500e+01 3.300e+01 2.300e+01
 1.900e+01 1.800e+01 1.700e+01 1.600e+01 1.300e+01 1.200e+01 1.000e+01
 8.000e+00 7.000e+00 6.000e+00 5.000e+00 4.000e+00 3.000e+00 2.000e+00
 1.000e+00]"
5,7082,"[0.         2.         2.23606801 2.82842708 3.         3.1622777
 3.46410155 3.60555124 3.7416575  4.         4.12310553 4.2426405
 4.47213602 4.5825758  4.69041586 4.89897966 5.         5.09901953
 5.38516474 5.65685415 5.74456263 5.83095169 6.         6.08276272
 6.16441393 6.3245554  6.40312433 6.63324976 6.70820379 6.92820311
 7.         7.28010988 7.34846926 7.48331499 7.54983425 8.24621105
 8.36660004 8.54400349 8.94427204 9.1651516 ]","[2.304e+03 1.800e+03 1.153e+03 7.870e+02 6.600e+02 6.010e+02 5.160e+02
 3.410e+02 3.230e+02 3.190e+02 2.490e+02 2.330e+02 1.450e+02 1.290e+02
 1.200e+02 9.600e+01 8.100e+01 7.800e+01 5.200e+01 4.800e+01 4.200e+01
 3.800e+01 3.500e+01 3.400e+01 3.100e+01 2.400e+01 2.000e+01 1.900e+01
 1.600e+01 1.500e+01 1.200e+01 9.000e+00 8.000e+00 7.000e+00 6.000e+00
 5.000e+00 4.000e+00 3.000e+00 2.000e+00 1.000e+00]"
6,23437,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.47213602  4.5825758   4.69041586  4.89897966  5.          5.09901953
  5.38516474  5.47722578  5.65685415  5.74456263  5.83095169  6.
  6.16441393  6.3245554   6.40312433  6.63324976  6.70820379  6.78233004
  7.28010988  7.48331499  7.54983425  7.81024981  8.94427204  9.43398094
  9.64365101 10.         10.04987526 10.19803905 10.44030666]","[2.304e+03 1.952e+03 1.427e+03 9.520e+02 7.880e+02 7.300e+02 6.090e+02
 4.210e+02 3.970e+02 3.790e+02 2.610e+02 2.460e+02 1.660e+02 1.490e+02
 1.390e+02 1.090e+02 9.300e+01 8.700e+01 5.500e+01 5.300e+01 5.000e+01
 4.600e+01 4.400e+01 3.800e+01 3.600e+01 2.800e+01 2.500e+01 2.300e+01
 1.700e+01 1.600e+01 1.300e+01 1.200e+01 1.000e+01 9.000e+00 8.000e+00
 6.000e+00 5.000e+00 4.000e+00 3.000e+00 2.000e+00 1.000e+00]"
7,5296,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.35889912  4.47213602  4.5825758   4.69041586  4.89897966  5.
  5.09901953  5.38516474  5.47722578  5.65685415  5.74456263  5.83095169
  6.          6.16441393  6.3245554   6.40312433  6.55743837  6.63324976
  6.70820379  6.92820311  7.          7.21110249  7.28010988  7.34846926
  7.48331499  7.54983425  7.6157732   7.81024981  7.8740077   8.06225777
  8.1240387   8.24621105  8.30662346  8.77496433  8.83176041  8.94427204
  9.43398094  9.69536018 10.19803905 10.29563046]","[2.304e+03 1.686e+03 9.870e+02 6.420e+02 5.180e+02 4.680e+02 4.090e+02
 3.230e+02 3.150e+02 3.090e+02 2.680e+02 2.650e+02 2.630e+02 2.050e+02
 1.830e+02 1.820e+02 1.530e+02 1.440e+02 1.400e+02 1.080e+02 1.060e+02
 1.020e+02 9.200e+01 8.700e+01 7.700e+01 7.000e+01 6.100e+01 5.700e+01
 5.500e+01 5.200e+01 4.500e+01 4.400e+01 4.300e+01 4.200e+01 3.800e+01
 3.300e+01 2.700e+01 2.400e+01 2.300e+01 2.100e+01 1.900e+01 1.800e+01
 1.700e+01 1.400e+01 1.000e+01 9.000e+00 8.000e+00 7.000e+00 6.000e+00
 5.000e+00 2.000e+00 1.000e+00]"
8,24757,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.47213602  4.5825758   4.69041586  4.89897966  5.          5.09901953
  5.19615221  5.38516474  5.47722578  5.65685415  5.74456263  5.83095169
  6.          6.16441393  6.3245554   6.40312433  6.63324976  6.70820379
  7.          7.07106781  7.28010988  7.48331499  7.6157732   7.68114567
  8.24621105  9.          9.21954441 13.        ]","[2.304e+03 1.859e+03 1.161e+03 6.970e+02 5.790e+02 5.260e+02 4.460e+02
 2.700e+02 2.600e+02 2.480e+02 2.000e+02 1.900e+02 1.190e+02 1.070e+02
 1.040e+02 7.900e+01 6.900e+01 6.600e+01 6.500e+01 4.200e+01 4.100e+01
 3.900e+01 3.400e+01 3.000e+01 2.800e+01 2.500e+01 1.700e+01 1.600e+01
 1.500e+01 1.400e+01 1.100e+01 1.000e+01 9.000e+00 8.000e+00 7.000e+00
 6.000e+00 5.000e+00 4.000e+00 2.000e+00 1.000e+00]"
9,23810,"[ 0.          2.          2.23606801  2.82842708  3.          3.1622777
  3.46410155  3.60555124  3.7416575   4.          4.12310553  4.2426405
  4.47213602  4.5825758   4.69041586  4.89897966  5.          5.09901953
  5.38516474  5.47722578  5.65685415  5.74456263  5.83095169  5.91608
  6.          6.08276272  6.16441393  6.3245554   6.40312433  6.48074055
  6.63324976  6.70820379  6.92820311  7.          7.07106781  7.21110249
  7.28010988  7.34846926  7.48331499  7.54983425  7.6157732   7.81024981
  7.8740077   8.          8.06225777  8.1240387   8.24621105  8.30662346
  8.36660004  8.48528099  8.54400349  8.60232544  8.66025448  8.77496433
  8.83176041  8.94427204  9.          9.05538559  9.1651516   9.21954441
  9.43398094  9.48683262  9.64365101  9.69536018  9.84885788  9.94987392
 10.         10.04987526 10.19803905 10.2469511  10.29563046 10.44030666
 10.63014603 10.77032948 11.         11.22497177 12.04159451 12.16552544
 12.20655537 12.36931705 13.9283886  15.52417469 16.4924221 ]","[2.304e+03 1.884e+03 1.484e+03 1.194e+03 1.092e+03 1.052e+03 9.890e+02
 8.520e+02 8.400e+02 8.230e+02 7.320e+02 7.180e+02 5.960e+02 5.740e+02
 5.660e+02 5.160e+02 4.830e+02 4.710e+02 3.910e+02 3.870e+02 3.720e+02
 3.400e+02 3.330e+02 3.320e+02 2.990e+02 2.930e+02 2.810e+02 2.550e+02
 2.270e+02 2.260e+02 2.080e+02 1.820e+02 1.790e+02 1.680e+02 1.630e+02
 1.540e+02 1.420e+02 1.350e+02 1.260e+02 1.140e+02 1.120e+02 1.060e+02
 9.900e+01 9.800e+01 9.000e+01 8.800e+01 7.700e+01 7.300e+01 7.100e+01
 6.700e+01 6.500e+01 6.200e+01 6.100e+01 5.600e+01 5.400e+01 5.100e+01
 4.700e+01 4.600e+01 4.300e+01 3.700e+01 3.000e+01 2.900e+01 2.800e+01
 2.500e+01 2.400e+01 2.300e+01 2.100e+01 1.800e+01 1.700e+01 1.600e+01
 1.500e+01 1.300e+01 1.200e+01 1.000e+01 9.000e+00 8.000e+00 7.000e+00
 6.000e+00 5.000e+00 4.000e+00 3.000e+00 2.000e+00 1.000e+00]"
